Nome,Atuação,Site,Descrição
Centro de Defesa da Criança e do Adolescente Yves de Roussan (Cedeca),Bahia,http://www.cedeca.org.br/,"a organização fornece atendimento psicossocial e jurídico para crianças e adolescentes vítimas de violência física e/ ou sexual, e outras violações de direitos."
Childhood Brasil,"sede em São Paulo, mas realiza trabalho em todo o país",https://www.childhood.org.br/,"a Childhood Brasil luta na defesa dos direitos das crianças e adolescentes com foco na prevenção e enfrentamento da violência sexual. No total, a ONG já apoiou 134 iniciativas por meio de 71 instituições.Voltar"
Amigos do Bem,"Sede em São Paulo, mas realiza seu trabalho no sertão nordestino, principalmente nos estados de Alagoas, Ceará e Pernambuco.",https://www.amigosdobem.org/,"a Amigos do Bem possui Centros Educacionais que atendem 1,5 mil crianças, desde a Educação Infantil até o Ensino Fundamental, para que no futuro jovens que vivem em situação de vulnerabilidade social no sertão nordestino consigam bolsas de estudos no Ensino Superior."
Fundação Abrinq,"Sede em São Paulo, mas realiza trabalho em todo o país",http://www.fundabrinq.org.br/,"a instituição promove a implementação de ações públicas, fortalecimento de organizações não governamentais e governamentais para prestação de serviços ou defesa de direitos, e articulação política e social em prol dos direitos da criança e do adolescente."
Projeto UERÊ,Rio de Janeiro,https://www.projetouere.org.br/,"o Projeto UERÊ atende 430 crianças e jovens anualmente. A organização é uma escola com uma metodologia desenhada para crianças e jovens com bloqueios cognitivos e emocionais, devido à exposição constante a traumas e violência."
Vagalume,"Sede em São Paulo, mas atende os estados do Acre, Amapá, Amazonas, Maranhão, Mato Grosso, Pará, Rondônia, Roraima e Tocantins.",https://www.vagalume.org.br/,"a associação atua em comunidades rurais da Amazônia Legal brasileira, desenvolvendo projetos de educação, cultura, e estimulando, principalmente, a leitura, escrita e oralidade.Voltar"
Criança Desaparecida,Santa Catarina,http://criancadesaparecida.org/,"o Movimento Catarinense de Busca da Criança Desaparecida tem o objetivo de prevenir e divulgar os casos de desaparecimentos. No total, a instituição promoveu seis projetos e um dos destaques foi a distribuição de pulseiras para identificar as crianças nas praias."
Desaparecidos do Brasil,Brasil,http://www.desaparecidosdobrasil.org/quem-somos,"a ONG Desaparecidos do Brasil trabalha com ajuda psicológica para as famílias dos desaparecidos, orientação para as buscas e divulgação dos casos. Além disso, atua no combate ao abuso e à violência contra crianças, como sequestros para fins de exploração sexual infantil, exploração do trabalho escravo de crianças e adultos e tráfico de órgãos."
Mães da Sé,"sede em São Paulo, mas realiza seu trabalho em todo o país",http://www.maesdase.org.br,"a organização foi criada por duas mães de crianças desaparecidas, e já cadastrou mais de 9 mil casos de pessoas desaparecidas, dos quais cerca de 3 mil foram solucionados. Além disso, a Mães da Sé denuncia as situações de risco comprovadas nos desaparecimentos e articula com os setores público e privado para auxiliar nas buscas."
Artemis,Brasil,https://www.artemis.org.br/,"a entidade trabalha para a prevenção e erradicação de todas as formas de violência contra as mulheres. A ONG procura garantir os direitos das mulheres, implementação de políticas públicas e serviços que assegurem uma mudança no cenário atual."
,São Paulo,https://associacaofalamulher.wixsite.com/associacaofalamulher,"a associação acolhe mulheres e filhos em abrigos sigilosos. Segundo dados da ONG, foram cerca de 32 mil famílias acompanhadas e 800 pessoas acolhidas nos abrigos."
